Year	CCAA	Value
2007	melilla	68968
2007	murcia	1385715
2007	navarra	602831
2007	pais_vasco	2142601
2007	rioja	308118
2007	total_nacional	44784659
2008	andalucia	8118575
2008	aragon	1325426
2008	asturias	1071081
2008	baleares	1042855
2008	canarias	1991945
2008	cantabria	577266
2008	castilla_la_mancha	2031828
2008	castilla_leon	2541717
2008	catalunya	7311146
2008	ceuta	75252
2008	comunidad_valenciana	4928093
2008	extremadura	1089650
2008	galicia	2754768
2008	madrid	6226195
2008	melilla	71244
2008	murcia	1419567
2008	navarra	616711
2008	pais_vasco	2159427
2008	rioja	316192
2008	total_nacional	45668938
2009	andalucia	8212986
2009	aragon	1342778
2009	asturias	1076280
2009	baleares	1070164
2009	canarias	2025486
2009	cantabria	584655
2009	castilla_la_mancha	2066417
2009	castilla_leon	2549174
2009	catalunya	7427089
2009	ceuta	76922
2009	comunidad_valenciana	4981276
2009	extremadura	1094691
2009	galicia	2767474
2009	madrid	6327594
2009	melilla	73361
2009	murcia	1441783
2009	navarra	627276
2009	pais_vasco	2174080
2009	rioja	319786
2009	total_nacional	46239271
2010	andalucia	8276017
2010	aragon	1344184
2010	asturias	1077103
2010	baleares	1083683
2010	canarias	2045168
2010	cantabria	588518
2010	castilla_la_mancha	2084470
2010	castilla_leon	2547408
2010	catalunya	7463471
2010	ceuta	79294
2010	comunidad_valenciana	4989631
2010	extremadura	1099605
2010	galicia	2772457
2010	madrid	6373532
2010	melilla	76047
2010	murcia	1453545
2010	navarra	633017
2010	pais_vasco	2179532
2010	rioja	319939
2010	total_nacional	46486621
2011	andalucia	8332087
2011	aragon	1344396
2011	asturias	1075877
2011	baleares	1091656
2011	canarias	2064876
2011	cantabria	590874
2011	castilla_la_mancha	2099057
2011	castilla_leon	2545286
2011	catalunya	7493252
2011	ceuta	81627
2011	comunidad_valenciana	4999211
2011	extremadura	1102300
2011	galicia	2773415
2011	madrid	6394239
2011	melilla	78863
2011	murcia	1459076
2011	navarra	637099
2011	pais_vasco	2183134
2011	rioja	320850
2011	total_nacional	46667175
2012	andalucia	8377809
2012	aragon	1343790
2012	asturias	1074304
2012	baleares	1100715
2012	canarias	2085928
2012	cantabria	592387
2012	castilla_la_mancha	2105936
2012	castilla_leon	2537654
2012	catalunya	7514992
2012	ceuta	83837
2012	comunidad_valenciana	5009647
2012	extremadura	1104343
2012	galicia	2771916
2012	madrid	6425573
2012	melilla	81786
2012	murcia	1461928
2012	navarra	640023
2012	pais_vasco	2184696
2012	rioja	320951
2012	total_nacional	46818216
2013	andalucia	8387986
2013	aragon	1337675
2013	asturias	1067425
2013	baleares	1105131
2013	canarias	2096336
2013	cantabria	589789
2013	castilla_la_mancha	2093474
2013	castilla_leon	2516927
2013	catalunya	7488664
2013	ceuta	84487
2013	comunidad_valenciana	4988365
2013	extremadura	1101024
2013	galicia	2760720
2013	madrid	6411525
2013	melilla	83669
2013	murcia	1462271
2013	navarra	639089
2013	pais_vasco	2179274
2013	rioja	318819
2013	total_nacional	46712650
2014	andalucia	8381239
2014	aragon	1330713
2014	asturias	1058560
2014	baleares	1106617
2014	canarias	2098155
2014	cantabria	587491
2014	castilla_la_mancha	2074760
2014	castilla_leon	2493604
2014	catalunya	7432833
2014	ceuta	84562
2014	comunidad_valenciana	4960213
2014	extremadura	1096708
2014	galicia	2745817
2014	madrid	6372553
2014	melilla	84103
2014	murcia	1462734
2014	navarra	637099
