Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional	07 Castilla y León	37 Salamanca	Total	2022	326.285
Total Nacional	07 Castilla y León	37 Salamanca	Total	2021	327.735
Total Nacional	07 Castilla y León	37 Salamanca	Hombres	2024	158.694
Total Nacional	07 Castilla y León	37 Salamanca	Hombres	2023	158.779
Total Nacional	07 Castilla y León	37 Salamanca	Hombres	2022	158.487
Total Nacional	07 Castilla y León	37 Salamanca	Hombres	2021	159.202
Total Nacional	07 Castilla y León	37 Salamanca	Mujeres	2024	168.858
Total Nacional	07 Castilla y León	37 Salamanca	Mujeres	2023	168.310
Total Nacional	07 Castilla y León	37 Salamanca	Mujeres	2022	167.798
Total Nacional	07 Castilla y León	37 Salamanca	Mujeres	2021	168.533
Total Nacional	07 Castilla y León	40 Segovia	Total	2024	156.620
Total Nacional	07 Castilla y León	40 Segovia	Total	2023	155.332
Total Nacional	07 Castilla y León	40 Segovia	Total	2022	153.731
Total Nacional	07 Castilla y León	40 Segovia	Total	2021	153.626
Total Nacional	07 Castilla y León	40 Segovia	Hombres	2024	78.509
Total Nacional	07 Castilla y León	40 Segovia	Hombres	2023	77.867
Total Nacional	07 Castilla y León	40 Segovia	Hombres	2022	77.203
Total Nacional	07 Castilla y León	40 Segovia	Hombres	2021	77.152
Total Nacional	07 Castilla y León	40 Segovia	Mujeres	2024	78.111
Total Nacional	07 Castilla y León	40 Segovia	Mujeres	2023	77.465
Total Nacional	07 Castilla y León	40 Segovia	Mujeres	2022	76.528
Total Nacional	07 Castilla y León	40 Segovia	Mujeres	2021	76.474
Total Nacional	07 Castilla y León	42 Soria	Total	2024	90.073
Total Nacional	07 Castilla y León	42 Soria	Total	2023	89.528
Total Nacional	07 Castilla y León	42 Soria	Total	2022	88.330
Total Nacional	07 Castilla y León	42 Soria	Total	2021	88.796
Total Nacional	07 Castilla y León	42 Soria	Hombres	2024	45.733
Total Nacional	07 Castilla y León	42 Soria	Hombres	2023	45.396
Total Nacional	07 Castilla y León	42 Soria	Hombres	2022	44.754
Total Nacional	07 Castilla y León	42 Soria	Hombres	2021	44.939
Total Nacional	07 Castilla y León	42 Soria	Mujeres	2024	44.340
Total Nacional	07 Castilla y León	42 Soria	Mujeres	2023	44.132
Total Nacional	07 Castilla y León	42 Soria	Mujeres	2022	43.576
Total Nacional	07 Castilla y León	42 Soria	Mujeres	2021	43.857
Total Nacional	07 Castilla y León	47 Valladolid	Total	2024	525.116
Total Nacional	07 Castilla y León	47 Valladolid	Total	2023	521.333
Total Nacional	07 Castilla y León	47 Valladolid	Total	2022	518.158
Total Nacional	07 Castilla y León	47 Valladolid	Total	2021	519.380
Total Nacional	07 Castilla y León	47 Valladolid	Hombres	2024	255.534
Total Nacional	07 Castilla y León	47 Valladolid	Hombres	2023	253.708
Total Nacional	07 Castilla y León	47 Valladolid	Hombres	2022	252.298
Total Nacional	07 Castilla y León	47 Valladolid	Hombres	2021	252.999
Total Nacional	07 Castilla y León	47 Valladolid	Mujeres	2024	269.582
Total Nacional	07 Castilla y León	47 Valladolid	Mujeres	2023	267.625
Total Nacional	07 Castilla y León	47 Valladolid	Mujeres	2022	265.860
Total Nacional	07 Castilla y León	47 Valladolid	Mujeres	2021	266.381
Total Nacional	07 Castilla y León	49 Zamora	Total	2024	166.253
Total Nacional	07 Castilla y León	49 Zamora	Total	2023	166.927
Total Nacional	07 Castilla y León	49 Zamora	Total	2022	167.868
Total Nacional	07 Castilla y León	49 Zamora	Total	2021	169.165
Total Nacional	07 Castilla y León	49 Zamora	Hombres	2024	82.447
Total Nacional	07 Castilla y León	49 Zamora	Hombres	2023	82.770
Total Nacional	07 Castilla y León	49 Zamora	Hombres	2022	83.170
Total Nacional	07 Castilla y León	49 Zamora	Hombres	2021	83.824
Total Nacional	07 Castilla y León	49 Zamora	Mujeres	2024	83.806
Total Nacional	07 Castilla y León	49 Zamora	Mujeres	2023	84.157
Total Nacional	07 Castilla y León	49 Zamora	Mujeres	2022	84.698
Total Nacional	07 Castilla y León	49 Zamora	Mujeres	2021	85.341
Total Nacional	08 Castilla - La Mancha		Total	2024	2.104.433
Total Nacional	08 Castilla - La Mancha		Total	2023	2.084.086
Total Nacional	08 Castilla - La Mancha		Total	2022	2.058.278
Total Nacional	08 Castilla - La Mancha		Total	2021	2.052.505
Total Nacional	08 Castilla - La Mancha		Hombres	2024	1.055.223
Total Nacional	08 Castilla - La Mancha		Hombres	2023	1.045.115
Total Nacional	08 Castilla - La Mancha		Hombres	2022	1.031.732
